Número do Node,Caminho de Navegação,Palavras-Chave Positivas,Palavras-Chave Negativas
17682490011,"Esporte, Aventura e Lazer > Exercícios e Academia > Pilates > Roupas > Masculinas > Moletons com Capuz","moletom, agasalho, blusão, roupa de frio, esportivo, capuz","camiseta, calça, shorts, jaqueta de couro, formal"
17682411011,"Esporte, Aventura e Lazer > Exercícios e Academia > Pilates > Roupas > Femininas > Moletons com Capuz","moletom, agasalho, blusão, roupa de frio, esportivo, capuz","camiseta, calça, shorts, jaqueta de couro, formal"
17682416011,"Moda > Feminino > Roupas > Casacos e Jaquetas > Jaquetas","jaqueta, casaco leve, blusão, corta-vento, agasalho","moletom com capuz, vestido, saia, casaco pesado, sobretudo"
17682415011,"Moda > Feminino > Roupas > Casacos e Jaquetas > Casacos","casaco, sobretudo, trench coat, roupa de inverno, agasalho pesado","jaqueta leve, corta-vento, camiseta, vestido"
16253413011,"Games e Consoles > PC > Acessórios > Controles e Gamepads","controle, gamepad, joystick, manete, controle de jogo, acessório gamer","teclado, mouse, headset, fone de ouvido, console, jogo"
21213426011,"Eletrônicos e Tecnologia > Acessórios > Acessórios para Celular > Acessórios para Jogos > Controles","controle, joystick, gamepad, controle para celular, acessório mobile","teclado, mouse, capinha de celular, película, carregador"
16244269011,"Eletrônicos e Tecnologia > Eletrônicos para Carros e Veículos > Eletrônicos para Carros > Áudio > Rádio por Satélite","rádio, satélite, som automotivo, siriusxm, receptor","rádio am/fm, rádio relógio, walkie-talkie, internet radio"
16244054011,"Casa > Banho > Acessórios para Banheiro > Acessórios para Box > Rádios para Chuveiro","rádio, chuveiro, banheiro, à prova d'água, bluetooth","rádio relógio, som automotivo, rádio de cozinha"
16244053011,"Eletrônicos e Tecnologia > Sistema de Som e Hi-Fi para Casa > Rádios e Sistemas de Som Portáteis > Rádios Decorativos","rádio, decorativo, vintage, retrô, som ambiente, design","portátil, rádio de pilha, rádio para carro, walkie-talkie"
16244055011,"Eletrônicos e Tecnologia > Sistema de Som e Hi-Fi para Casa > Rádios e Sistemas de Som Portáteis > Rádios para Cozinha","rádio, cozinha, culinária, som ambiente, timer, relógio","rádio de chuveiro, som automotivo, rádio portátil"
16244281011,"Eletrônicos e Tecnologia > Sistema de Som e Hi-Fi para Casa > Dispositivos de Streaming de Mídia > Rádios pela Internet","rádio, internet, streaming, wi-fi, spotify, podcast","rádio am/fm, rádio de pilha, transmissor fm"
38934151011,"Eletrônicos e Tecnologia > Áudio e Vídeo Portáteis > Rádios e DAB > Rádios Meteorológicos","rádio, meteorológico, previsão do tempo, emergência, alerta climático","rádio de música, streaming, rádio decorativo"
17115641011,"Ferramentas e Materiais de Construção > Ferramentas Elétricas e Manuais > Ferramentas Elétricas > Rádios para Local de Trabalho","rádio, obra, construção, robusto, resistente, local de trabalho","rádio delicado, rádio decorativo, rádio de chuveiro"
16243877011,"Eletrônicos e Tecnologia > Áudio e Vídeo Portáteis > Rádios e DAB","rádio, portátil, dab, rádio digital, am/fm, de bolso","rádio de carro, rádio pela internet, streaming"
38934155011,"Eletrônicos e Tecnologia > Áudio e Vídeo Portáteis > Rádios e DAB > Rádios DAB","rádio, dab, digital, receptor digital","rádio analógico, am/fm, rádio vintage"
16243795011,"Eletrônicos e Tecnologia > Comunicação por Rádio","rádio comunicador, walkie-talkie, ht, transceptor","rádio de música, rádio am/fm, receptor"
16243829011,"Eletrônicos e Tecnologia > Comunicação por Rádio > Scanners de Rádio","scanner, rádio scanner, escuta, frequência policial, aeronáutica","walkie-talkie, rádio am/fm, transmissor"
38934153011,"Eletrônicos e Tecnologia > Áudio e Vídeo Portáteis > Rádios e DAB > Rádios AM > FM","rádio, am/fm, analógico, portátil, rádio de pilha","rádio digital, dab, rádio pela internet, streaming"
20972539011,"Instrumentos Musicais > Equipamentos para DJ e VJ > Microfones e Acessórios > Dinâmico","microfone, dinâmico, show ao vivo, palco, vocal, instrumento","condensador, lapela, estúdio, gravação delicada"
17095831011,"Papelaria e Escritório > Eletrônicos para Escritório > Gravadores de Voz e Acessórios > Microfones Externos","microfone, externo, lapela, gravador de voz, entrevista","microfone de estúdio, microfone de palco, microfone embutido"
20972540011,"Instrumentos Musicais > Equipamentos para DJ e VJ > Microfones e Acessórios > Condensador","microfone, condensador, estúdio, gravação, podcast, vocal delicado","dinâmico, show ao vivo, palco, robusto"
17540115011,"Bebês > Amamentação e Alimentação > Amamentação > Bombas de Extração","bomba de tirar leite, extrator de leite, amamentação, aleitamento","mamadeira, chupeta, fórmula infantil, bomba d'água"
16754566011,"Casa > Decoração para Casa > Aromatizadores > Velas","vela, decorativa, aromática, perfumada, parafina, cera","lâmpada, led, incenso, bolo de aniversário"
17100710011,"Casa > Decoração para Casa > Velas e Castiçais > Velas","vela, decorativa, parafina, cera, castiçal","lâmpada, led, incenso, vela de bolo"
16754741011,"Beleza > Cuidados com o Cabelo > Shampoos e Condicionadores > Shampoos Secos","shampoo a seco, xampu a seco, cabelo, limpeza sem água, oleosidade","shampoo tradicional, condicionador, sabonete líquido, talco"
17125205011,"Cozinha > Eletroportáteis > Liquidificadores, Batedeiras e Processadores de Alimentos > Liquidificadores > Liquidificadores de Bancada","liquidificador, bancada, jarra, copo, vitaminas, sopas, triturar","mixer de mão, batedeira, processador de alimentos, espremedor"
