Nome do campo,Nome como consta na etiqueta adesiva local,Valores aceitos,Exemplo,Obrigatório?
contribution_sku#1.value,SKU,Este atributo indica o número da SKU conforme atribuído pelo colaborador,ABC123,Obrigatório
::record_action,Ação de oferta,Especifique o tipo de operação a ser acionada com base nos dados fornecidos,(Padrão) Criar ou substituir,Obrigatório
product_type#1.value,Tipo de produto,Selecione o tipo de produto mais adequado para o item,ACESSÓRIO,Obrigatório
item_name[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome do item,Forneça um título para o item que pode ser exibido para o cliente na página de detalhes do produto,"Camisa Manga Curta com Ajuste Clássico Maya Bay Robert Graham Masculina, Vinho, XG",Obrigatório
brand[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome da marca,"Forneça o nome da marca do produto. Caso o nome não esteja disponível na lista, insira-o manualmente.",Sony,Obrigatório
amzn1.volt.ca.product_id_type,Tipo de ID do produto,"Selecione o tipo de ID externo (código de barras) ou ASIN que está sendo usado para identificar esse produto. Se o produto estiver isento de ID externa, selecione Isento de GTIN.",UPC,Obrigatório
amzn1.volt.ca.product_id_value,ID do produto,Informe o valor de ID do produto correspondente com base no tipo que foi selecionado,714532191586,Condicionalmente obrigatório
recommended_browse_nodes[marketplace_id=A2Q3Y263D00KWC]#1.value,Caminhos de Navegação Recomendados,"Indique o browse node ou a secção do site da Amazon onde o produto será designado. Isso permite que os clientes encontrem o produto no site com facilidade. Se não fornecer um node ou se fornecer um node incorreto, talvez os clientes não consigam encontrar seu produto.",Barras dietéticas,Obrigatório
model_number[marketplace_id=A2Q3Y263D00KWC]#1.value,Número do modelo,Forneça o número do modelo do fabricante para o item,RXZER23,Condicionalmente obrigatório
model_name[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome do modelo,"Especifique o nome do modelo do produto conforme definido por fabricante ou marca, exceto tipo, estrutura, marca ou tamanho",MacBook Pro,Condicionalmente obrigatório
manufacturer[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Fabricante,Especifique o fabricante do produto,"Nike, Procter & Gamble",Opcional
amzn1.volt.ca.product_id_type,Tipo de ID do produto,"Selecione o tipo de ID externo (código de barras) ou ASIN que está sendo usado para identificar esse produto. Se o produto estiver isento de ID externa, selecione Isento de GTIN.",UPC,Obrigatório
amzn1.volt.ca.product_id_value,ID do produto,Informe o valor de ID do produto correspondente com base no tipo que foi selecionado,714532191586,Condicionalmente obrigatório
collar_style[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Estilo de gola,"Forneça o estilo de gola usado pelo artigo. O estilo do colarinho é determinado pela forma geral, design e forma do colarinho de um artigo.","Abotoado, francês, curto",Recomendado
skip_offer[marketplace_id=A2Q3Y263D00KWC]#1.value,Ignorar oferta,Indique se a oferta deve ser ignorada e se uma oferta comprável não deve ser criada. Um valor de “Sim” significa que nenhuma oferta será criada.,Sim,Opcional
condition_type[marketplace_id=A2Q3Y263D00KWC]#1.value,Condição do Produto,Forneça o tipo de condição real do produto,Novo,Condicionalmente obrigatório
condition_note[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nota de condição da oferta,Forneça um texto descritivo explicando a condição real do produto,Pequeno amassado no painel lateral esquerdo.,Opcional
list_price[marketplace_id=A2Q3Y263D00KWC]#1.value_with_tax,Preço sugerido com impostos,"Informe o preço de catálogo para o produto, incluindo impostos. O Preço de Catálogo é o preço de varejo sugerido de um produto, conforme informado por um fabricante, fornecedor ou vendedor. Este não é o preço de oferta ou custo. Caso não o possua, digite 0.",69,Condicionalmente obrigatório
merchant_release_date[marketplace_id=A2Q3Y263D00KWC]#1.value,Data de lançamento do lojista,Forneça a data de lançamento do lojista usando o formato AAAA-MM-DD,2017-07-20,Opcional
merchant_shipping_group[marketplace_id=A2Q3Y263D00KWC]#1.value,Grupo de envio de mercadorias,O grupo de configuração de envio de uma oferta. O grupo de configuração de envio é criado e gerenciado pelo vendedor por meio da interface do usuário de configuração de envio.,"Produtos volumosos pesados, entrega de dispositivo de NCR grande",Condicionalmente obrigatório
max_order_quantity[marketplace_id=A2Q3Y263D00KWC]#1.value,Quantidade máxima de pedido,Forneça o valor da quantidade máxima de pedido,3,Opcional
gift_options[marketplace_id=A2Q3Y263D00KWC]#1.can_be_messaged,A oferta pode ser enviada como presente por mensagem,"Se você puder imprimir uma mensagem de presente com o item, indique isso aqui.  Se deixado em branco, o padrão é ""falso""",VERDADEIRO,Opcional
gift_options[marketplace_id=A2Q3Y263D00KWC]#1.can_be_wrapped,A embalagem do presente está disponível,"Se você puder embrulhar um item, indique isso aqui.  Se deixado em branco, o padrão é ""falso""",VERDADEIRO,Opcional
main_offer_image_locator[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Local da imagem principal,O URL em que a imagem principal da oferta específica do produto está localizada.,http://www.companyname.com/images/1250.offer.jpg,Opcional
other_offer_image_locator_1[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outra localização de imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_offer_image_locator_2[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outra localização de imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_offer_image_locator_3[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outra localização de imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_offer_image_locator_4[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outra localização de imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_offer_image_locator_5[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outra localização de imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
ncm_code[marketplace_id=A2Q3Y263D00KWC]#1.value,Código NCM,Inserir informação válida de acordo com a tabela de NCM Vigente. O código precisa ter 8 dígitos e ser válido.,84717012,Opcional
ncm_code[marketplace_id=A2Q3Y263D00KWC]#1.ex_tipi,Código EX da TIPI,"Preencha de acordo com o código EX da TIPI. Se não for aplicável para o produto, deixe em branco.","01, 02",Opcional
import_designation[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Origem da mercadoria,Selecione um valor válido da lista suspensa,1,Opcional
contributor_supply_chain_role[marketplace_id=A2Q3Y263D00KWC]#1.value,Atividade da empresa para esse produto,"Especifique se é fabricante, distribuidor ou importador do item",Distribuidor,Opcional
tax_treatment[marketplace_id=A2Q3Y263D00KWC]#1.type,Tipo de Código de Situação Tributária,Indique o tipo de Código de Situação Tributária do item a ser  vendido (ICMS). Selecione uma opção da lista de valores válidos.,ICMS,Opcional
tax_treatment[marketplace_id=A2Q3Y263D00KWC]#1.value,Código de Situação da Operação do Simples Nacional (CSOSN),Indique o Código de Situação Tributária do item a ser vendido (ICMS). Selecione uma opção da lista de valores válidos.,102 -  Tributada pelo Simples Nacional sem permissão de crédito,Opcional
tax_legal_proceeding[marketplace_id=A2Q3Y263D00KWC]#1.identification,Identificador do Processo ou ato Concessório,Identificar qualquer processo ou ato concessório que seja relevante para as operações e/ou tributação do produto.,12345678ABCD,Opcional
tax_legal_proceeding[marketplace_id=A2Q3Y263D00KWC]#1.source,Indicador da Origem do Processo,Identificar qualquer processo ou ato concessório que seja relevante para as operações e/ou tributação do produto. Selecione uma opção da lista de valores válidos.,SEFAZ,Opcional
tax_classification_code[marketplace_id=A2Q3Y263D00KWC]#1.type,Tipo de Classificação Fiscal,Forneça o tipo de código de substituição tributária apropriado,CEST,Opcional
tax_classification_code[marketplace_id=A2Q3Y263D00KWC]#1.value,Código Especificador da Substituição Tributária (CEST),"Código Especificador da Substituição Tributária – CEST, que estabelece a sistemática de uniformização e identificação das mercadorias e bens passíveis de sujeição aos regimes de substituição tributária e de antecipação de recolhimento do ICMS. O código CEST informado deve ser compatível com o código NCM do produto.",1234567,Opcional
invoice_legal_citation[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Bases Legais e Observações,Inserir informações adicionais de interesse do Fisco.,Código tributário 602.1614,Opcional
fulfillment_availability#1.fulfillment_channel_code,Código do canal de processamento (BR),"Para os comerciantes que usam serviços de atendimento da Amazon, isto designa qual a rede de atendimento que será usada. A especificação de um valor diferente do PADRÃO cancelará a oferta processada pelo comerciante. Os produtos processados pelo comerciante devem deixar este campo em branco.",AMAZON_NA,Condicionalmente obrigatório
fulfillment_availability#1.quantity,Quantidade (BR),Insira a quantidade do item que você está disponibilizando para venda. Esta é a ordem de compra e venda atual de inventário (como um número inteiro),152,Condicionalmente obrigatório
fulfillment_availability#1.lead_time_to_ship_max_days,Tempo de processamento (BR),"Forneça o tempo, em dias, entre quando recebe uma encomenda de um artigo e quando pode enviar o artigo",5,Recomendado
